idx	name	localDegree	globalDegree	pValueRaw	pValueFDR	pValueBonferroni
1712	CRK	11	81	2.3920879159256e-05	0.0186673141177509	0.0213374242100564
4546	IFNAR1	6	23	4.1854964389576e-05	0.0186673141177509	0.0373346282355018
20	CBL	14	140	6.50546994953594e-05	0.0193429306499535	0.0580287919498605
500	GAB1	8	57	0.000248319689968524	0.0488782736525647	0.221501163451923
414	CDK6	5	21	0.000300851540057878	0.0488782736525647	0.268359573731627
84	PTPN11	14	163	0.000328777625465682	0.0488782736525647	0.293269641915388
883	NRCAM	3	6	0.000479055427005326	0.061045348698393	0.427317440888751
1589	EGF	8	67	0.000759603570411937	0.0623864456740022	0.677566384807448
723	E4F1	3	7	0.000820026182632105	0.0623864456740022	0.731463354907838
2002	UBE2A	3	7	0.000820026182632105	0.0623864456740022	0.731463354907838
2011	CCNG1	3	7	0.000820026182632105	0.0623864456740022	0.731463354907838
9028	SH3BGRL3	2	2	0.000871691877932124	0.0623864456740022	0.777549155115454
1075	IFNAR2	6	39	0.000909219499733216	0.0623864456740022	0.811023793762029
3417	CCND1	7	55	0.00110405636563127	0.0703441627245065	0.984818278143091
152	SOS1	10	109	0.00140677841553982	0.0788613246697822	1
5758	YES1	5	30	0.00169479306853115	0.0788613246697822	1
475	FES	5	30	0.00169479306853115	0.0788613246697822	1
6824	IL1B	5	30	0.00169479306853115	0.0788613246697822	1
1514	EPB41L1	4	19	0.00204257619053183	0.0788613246697822	1
95	CRKL	7	62	0.00224497452402095	0.0788613246697822	1
2777	MAP2K3	5	32	0.00228227989570495	0.0788613246697822	1
188	GRB2	16	245	0.00248499401989921	0.0788613246697822	1
4	GRB7	4	20	0.00249450743931035	0.0788613246697822	1
6547	NUMA1	4	20	0.00249450743931035	0.0788613246697822	1
13	ERRFI1	2	3	0.00256387714733597	0.0788613246697822	1
6366	TRIAP1	2	3	0.00256387714733597	0.0788613246697822	1
485	TIE1	2	3	0.00256387714733597	0.0788613246697822	1
1027	KCNE4	2	3	0.00256387714733597	0.0788613246697822	1
6197	CELSR2	2	3	0.00256387714733597	0.0788613246697822	1
469	PDGFRB	7	67	0.00350325776782823	0.104163530963426	1
30	SHB	4	23	0.00425236950480856	0.118016403072892	1
5820	RAP1A	6	54	0.00497475252068336	0.118016403072892	1
5794	IL1R1	4	24	0.00498597603079398	0.118016403072892	1
5506	BTC	2	4	0.0050276046152129	0.118016403072892	1
4450	ZNHIT1	2	4	0.0050276046152129	0.118016403072892	1
5888	NQO1	2	4	0.0050276046152129	0.118016403072892	1
92	PTPRO	2	4	0.0050276046152129	0.118016403072892	1
6017	ECM1	2	4	0.0050276046152129	0.118016403072892	1
302	SH3KBP1	5	39	0.00551594038987702	0.126159457122315	1
1259	RAD54B	3	13	0.00587280182975436	0.128668086485741	1
7	PIK3R2	5	40	0.00615485316249997	0.128668086485741	1
890	STAT5B	5	40	0.00615485316249997	0.128668086485741	1
109	PTK2	9	113	0.00620260955032159	0.128668086485741	1
44	SOCS1	6	57	0.00649453744645889	0.131661986414576	1
1663	ITGB4	5	41	0.00684405330209215	0.135664345454804	1
2718	ANGPT2	3	14	0.00731280617614383	0.140937424013584	1
32	TEC	4	27	0.00768306663884111	0.140937424013584	1
9027	PIK3C2A	2	5	0.00821608301424481	0.140937424013584	1
2681	SERTAD1	2	5	0.00821608301424481	0.140937424013584	1
5515	MAGEB18	2	5	0.00821608301424481	0.140937424013584	1
5889	MTSS1	2	5	0.00821608301424481	0.140937424013584	1
5669	GTPBP3	2	5	0.00821608301424481	0.140937424013584	1
497	PIK3CB	3	15	0.00894359163891156	0.145048795307438	1
662	SNX6	3	15	0.00894359163891156	0.145048795307438	1
4988	PHB	3	15	0.00894359163891156	0.145048795307438	1
49	VAV2	4	29	0.0099291203691082	0.158156703022224	1
141	VEGFA	6	63	0.0105025498546494	0.158521475773754	1
1309	SMARCB1	3	16	0.0107701332049099	0.158521475773754	1
1750	NFYB	3	16	0.0107701332049099	0.158521475773754	1
5760	SERPINA3	3	16	0.0107701332049099	0.158521475773754	1
1764	KLF4	2	6	0.0120845968078647	0.158521475773754	1
5912	MNDA	2	6	0.0120845968078647	0.158521475773754	1
1335	EID1	2	6	0.0120845968078647	0.158521475773754	1
1340	CREG1	2	6	0.0120845968078647	0.158521475773754	1
6427	SERPINB2	2	6	0.0120845968078647	0.158521475773754	1
342	CNTNAP1	2	6	0.0120845968078647	0.158521475773754	1
8133	CNOT3	2	6	0.0120845968078647	0.158521475773754	1
578	IFNGR2	2	6	0.0120845968078647	0.158521475773754	1
631	GRB14	3	17	0.0127964386470709	0.158533656572045	1
5047	MSX1	3	17	0.0127964386470709	0.158533656572045	1
5521	EHMT2	3	17	0.0127964386470709	0.158533656572045	1
745	L1CAM	3	17	0.0127964386470709	0.158533656572045	1
984	STAT5A	6	67	0.0139941938994954	0.166437612777999	1
243	HDAC3	6	67	0.0139941938994954	0.166437612777999	1
4200	CDKN1A	6	67	0.0139941938994954	0.166437612777999	1
760	E2F1	7	87	0.0143188945122161	0.167465188588313	1
1467	DLG1	6	68	0.0149798614073398	0.167465188588313	1
47	CBLB	4	33	0.0156040547011933	0.167465188588313	1
93	GRB10	4	33	0.0156040547011933	0.167465188588313	1
185	CBLC	2	7	0.0165904250579577	0.167465188588313	1
3798	SCAMP1	2	7	0.0165904250579577	0.167465188588313	1
6613	KRT7	2	7	0.0165904250579577	0.167465188588313	1
7772	SOCS5	2	7	0.0165904250579577	0.167465188588313	1
144	PGF	2	7	0.0165904250579577	0.167465188588313	1
3238	RND1	2	7	0.0165904250579577	0.167465188588313	1
887	NAGK	2	7	0.0165904250579577	0.167465188588313	1
3472	CNOT8	2	7	0.0165904250579577	0.167465188588313	1
1707	NCAN	2	7	0.0165904250579577	0.167465188588313	1
771	HSP90AA1	11	179	0.0171810680044456	0.167465188588313	1
3473	IL23A	4	34	0.0172838640582949	0.167465188588313	1
3474	IL23R	4	34	0.0172838640582949	0.167465188588313	1
247	MAPKAPK5	3	19	0.0174599355815169	0.167465188588313	1
273	FGFR2	3	19	0.0174599355815169	0.167465188588313	1
5307	HMGB1	5	52	0.0182687697962566	0.173358964449584	1
3075	GFRA1	4	35	0.0190723417521661	0.177213842113877	1
7287	GDNF	4	35	0.0190723417521661	0.177213842113877	1
903	PTPRS	3	20	0.0201008934889652	0.179299969921569	1
630	BAG1	3	20	0.0201008934889652	0.179299969921569	1
1942	ITCH	3	20	0.0201008934889652	0.179299969921569	1
199	HCFC1	3	20	0.0201008934889652	0.179299969921569	1
846	PPP1CA	6	73	0.0206364160942099	0.182254288673616	1
6569	HUWE1	2	8	0.021692763248689	0.182811729075793	1
8566	ZCCHC10	2	8	0.021692763248689	0.182811729075793	1
480	CSF2RA	2	8	0.021692763248689	0.182811729075793	1
2781	DUSP16	2	8	0.021692763248689	0.182811729075793	1
3499	STAT3	9	139	0.0220335502958292	0.182811729075793	1
7420	NGF	5	55	0.022777605575958	0.182811729075793	1
12	CD82	3	21	0.0229492654423683	0.182811729075793	1
636	PTPN2	3	21	0.0229492654423683	0.182811729075793	1
5052	BDNF	3	21	0.0229492654423683	0.182811729075793	1
2552	CDC37	3	21	0.0229492654423683	0.182811729075793	1
2268	FYN	11	187	0.0229539390767812	0.182811729075793	1
1459	MET	5	56	0.0244268902583697	0.187681246026711	1
1310	SP3	4	38	0.0251065350205166	0.187681246026711	1
2031	HSP90AB1	3	22	0.0260051624027116	0.187681246026711	1
7775	TBX21	3	22	0.0260051624027116	0.187681246026711	1
1851	RAPGEF1	3	22	0.0260051624027116	0.187681246026711	1
5380	NT5C2	3	22	0.0260051624027116	0.187681246026711	1
3720	SNAPC1	3	22	0.0260051624027116	0.187681246026711	1
228	HIF1A	7	99	0.0271398021973287	0.187681246026711	1
4708	CCND3	4	39	0.0273454601211611	0.187681246026711	1
1619	FGFR1	4	39	0.0273454601211611	0.187681246026711	1
638	SNX4	2	9	0.0273526479635341	0.187681246026711	1
3631	CR2	2	9	0.0273526479635341	0.187681246026711	1
3635	CBX8	2	9	0.0273526479635341	0.187681246026711	1
6798	PDGFA	2	9	0.0273526479635341	0.187681246026711	1
68	ELF1	2	9	0.0273526479635341	0.187681246026711	1
536	TUB	2	9	0.0273526479635341	0.187681246026711	1
3010	CSPG4	2	9	0.0273526479635341	0.187681246026711	1
776	SUB1	2	9	0.0273526479635341	0.187681246026711	1
411	SDC2	5	58	0.0279513730719869	0.189696724114257	1
67	SP1	8	122	0.0280717125370873	0.189696724114257	1
961	FER	3	23	0.029268081337397	0.196294199646302	1
2003	BCL2L1	5	59	0.0298284416941309	0.198559477546006	1
633	NCK2	4	41	0.0321708821355504	0.20628505386156	1
1584	HIST3H3	4	41	0.0321708821355504	0.20628505386156	1
722	MAP2K4	4	41	0.0321708821355504	0.20628505386156	1
177	TRAT1	2	10	0.0335328843160608	0.20628505386156	1
1324	PRKRA	2	10	0.0335328843160608	0.20628505386156	1
3471	CNOT7	2	10	0.0335328843160608	0.20628505386156	1
2348	PJA1	2	10	0.0335328843160608	0.20628505386156	1
627	PDGFB	2	10	0.0335328843160608	0.20628505386156	1
1940	DTX1	2	10	0.0335328843160608	0.20628505386156	1
5757	ADAM10	2	10	0.0335328843160608	0.20628505386156	1
753	CNTN1	2	10	0.0335328843160608	0.20628505386156	1
2968	ITGB1	7	104	0.034257638058285	0.207128361103592	1
573	CDH1	4	42	0.0347588184566007	0.207128361103592	1
1661	ITGA6	4	42	0.0347588184566007	0.207128361103592	1
2970	ITGA4	4	42	0.0347588184566007	0.207128361103592	1
2614	FOS	8	128	0.0359080723349925	0.207128361103592	1
2024	BRF1	3	25	0.036410190199631	0.207128361103592	1
5753	CSF2RB	3	25	0.036410190199631	0.207128361103592	1
66	TIAM1	3	25	0.036410190199631	0.207128361103592	1
2133	RELN	3	25	0.036410190199631	0.207128361103592	1
5938	IRF1	4	43	0.037464229290598	0.207128361103592	1
660	CAV1	6	85	0.039694552941245	0.207128361103592	1
550	SOCS7	2	11	0.0401979760383665	0.207128361103592	1
1487	CAV3	2	11	0.0401979760383665	0.207128361103592	1
4371	EPS15L1	2	11	0.0401979760383665	0.207128361103592	1
227	ATF3	2	11	0.0401979760383665	0.207128361103592	1
233	SPIB	2	11	0.0401979760383665	0.207128361103592	1
509	PIK3R3	2	11	0.0401979760383665	0.207128361103592	1
1311	RING1	2	11	0.0401979760383665	0.207128361103592	1
90	MATK	2	11	0.0401979760383665	0.207128361103592	1
3803	TRPV1	2	11	0.0401979760383665	0.207128361103592	1
5699	KLHL12	2	11	0.0401979760383665	0.207128361103592	1
1617	KCNB1	2	11	0.0401979760383665	0.207128361103592	1
5203	NOV	2	11	0.0401979760383665	0.207128361103592	1
655	ITGA2B	3	26	0.0402857256785516	0.207128361103592	1
3370	SMO	3	26	0.0402857256785516	0.207128361103592	1
3415	PFDN1	3	26	0.0402857256785516	0.207128361103592	1
1168	MAP3K11	3	26	0.0402857256785516	0.207128361103592	1
503	YWHAG	14	282	0.0403564918803048	0.207128361103592	1
3410	RELA	9	155	0.0404039628161715	0.207128361103592	1
847	MYC	7	109	0.0425203433374312	0.215500831005617	1
204	STAT1	7	109	0.0425203433374312	0.215500831005617	1
89	SRC	12	233	0.0438518865257389	0.219833687712199	1
5007	ITGA5	3	27	0.0443610580585154	0.219833687712199	1
1688	CCT5	3	27	0.0443610580585154	0.219833687712199	1
2717	ANGPT1	3	27	0.0443610580585154	0.219833687712199	1
1781	GTF2E2	4	46	0.0462871881358393	0.225690587464229	1
637	SNX2	2	12	0.047314058134317	0.225690587464229	1
882	TNC	2	12	0.047314058134317	0.225690587464229	1
884	MAGI3	2	12	0.047314058134317	0.225690587464229	1
5581	ERH	2	12	0.047314058134317	0.225690587464229	1
99	SH2B3	2	12	0.047314058134317	0.225690587464229	1
4210	PFDN6	2	12	0.047314058134317	0.225690587464229	1
402	PLSCR1	5	67	0.0476937629316299	0.225954126976068	1
87	PRKCA	10	185	0.0478759304915659	0.225954126976068	1
3215	NOS3	3	28	0.0486332876274509	0.228320487177296	1
2352	NR3C1	6	91	0.0523959765864593	0.244611594510169	1
143	SHC1	9	163	0.0526518230335791	0.244611594510169	1
1888	EDN1	3	29	0.0530991530803366	0.244625790755118	1
2693	MAGI2	2	13	0.0548488320078739	0.244625790755118	1
1845	CEBPE	2	13	0.0548488320078739	0.244625790755118	1
4797	PAX5	2	13	0.0548488320078739	0.244625790755118	1
5404	TRIM23	2	13	0.0548488320078739	0.244625790755118	1
2334	SYNGAP1	2	13	0.0548488320078739	0.244625790755118	1
4209	PFDN2	2	13	0.0548488320078739	0.244625790755118	1
4841	COMMD1	2	13	0.0548488320078739	0.244625790755118	1
5541	CEP72	5	70	0.0557275720416875	0.247308429160126	1
1819	CHEK2	3	30	0.0577550656499504	0.251304968584174	1
2023	EFEMP2	3	30	0.0577550656499504	0.251304968584174	1
3491	PPP2R1B	3	30	0.0577550656499504	0.251304968584174	1
7562	SLBP	3	30	0.0577550656499504	0.251304968584174	1
463	YWHAZ	7	117	0.058241037567345	0.252189347136271	1
27	BTK	5	71	0.0585687341937513	0.252217029991024	1
412	CDKN1B	4	50	0.0596933936471034	0.252217029991024	1
24	MAPK1	9	168	0.0614249213978924	0.252217029991024	1
477	ERBB3	3	31	0.062597141251158	0.252217029991024	1
3447	PAFAH1B3	3	31	0.062597141251158	0.252217029991024	1
4989	BDP1	3	31	0.062597141251158	0.252217029991024	1
1421	ARF6	3	31	0.062597141251158	0.252217029991024	1
86	PTPN6	7	119	0.0626650297366492	0.252217029991024	1
958	STAM2	2	14	0.0627715029798289	0.252217029991024	1
5750	TGFA	2	14	0.0627715029798289	0.252217029991024	1
7070	HBEGF	2	14	0.0627715029798289	0.252217029991024	1
2169	VBP1	2	14	0.0627715029798289	0.252217029991024	1
6648	CCT8	2	14	0.0627715029798289	0.252217029991024	1
693	RFX1	2	14	0.0627715029798289	0.252217029991024	1
1371	EDF1	2	14	0.0627715029798289	0.252217029991024	1
1779	DRAP1	2	14	0.0627715029798289	0.252217029991024	1
21	PLCG1	7	120	0.064951971472832	0.259807885891328	1
4909	RHOA	7	121	0.0672889864601801	0.264553236029822	1
2917	IL12RB1	5	74	0.0675806357191902	0.264553236029822	1
6981	IL12B	5	74	0.0675806357191902	0.264553236029822	1
1074	TP73	3	32	0.06762123073408	0.264553236029822	1
5792	IL4R	3	32	0.06762123073408	0.264553236029822	1
1449	NEDD8	2	15	0.0710527201092008	0.265067664464457	1
422	CUL3	2	15	0.0710527201092008	0.265067664464457	1
3032	SOCS6	2	15	0.0710527201092008	0.265067664464457	1
498	IRS4	2	15	0.0710527201092008	0.265067664464457	1
9257	SGMS1	2	15	0.0710527201092008	0.265067664464457	1
2813	GNA11	2	15	0.0710527201092008	0.265067664464457	1
1971	PFDN4	2	15	0.0710527201092008	0.265067664464457	1
124	CBX3	2	15	0.0710527201092008	0.265067664464457	1
5756	IFNGR1	2	15	0.0710527201092008	0.265067664464457	1
5910	LEP	2	15	0.0710527201092008	0.265067664464457	1
6	DLG4	6	99	0.0727890232574062	0.265067664464457	1
531	NTRK1	3	33	0.0728229483373686	0.265067664464457	1
5746	FLT1	3	33	0.0728229483373686	0.265067664464457	1
1706	POLR3E	3	33	0.0728229483373686	0.265067664464457	1
7478	POLR3B	3	33	0.0728229483373686	0.265067664464457	1
7479	POLR3D	3	33	0.0728229483373686	0.265067664464457	1
7480	POLR3H	3	33	0.0728229483373686	0.265067664464457	1
154	NCK1	5	76	0.0739931036453473	0.265067664464457	1
1598	TUBA1A	5	76	0.0739931036453473	0.265067664464457	1
2255	BCL2	5	76	0.0739931036453473	0.265067664464457	1
478	TUBG1	5	76	0.0739931036453473	0.265067664464457	1
516	DYNLL1	7	125	0.0771384006254262	0.274365831153049	1
2009	CSNK1D	5	77	0.0773195999848346	0.274365831153049	1
3898	POLR3A	3	34	0.0781976984288919	0.274365831153049	1
5946	HSF1	3	34	0.0781976984288919	0.274365831153049	1
2535	PPIA	2	16	0.0796645182383853	0.274365831153049	1
2979	CTLA4	2	16	0.0796645182383853	0.274365831153049	1
3097	UGCG	2	16	0.0796645182383853	0.274365831153049	1
1036	MDK	2	16	0.0796645182383853	0.274365831153049	1
7700	EOMES	2	16	0.0796645182383853	0.274365831153049	1
5881	EEF2K	2	16	0.0796645182383853	0.274365831153049	1
624	ITGB3	5	78	0.0807256315353388	0.275244464213464	1
920	AKAP9	5	78	0.0807256315353388	0.275244464213464	1
3414	AKT1	10	204	0.0808453471120265	0.275244464213464	1
546	GIT1	4	56	0.083230702470647	0.281874358304388	1
472	CD28	3	35	0.083740700617335	0.281874358304388	1
1610	FGFR3	3	35	0.083740700617335	0.281874358304388	1
4039	CDK5RAP2	5	79	0.084210640303376	0.282390568235381	1
1650	UBB	4	57	0.0875385928494263	0.287322159520121	1
26	HRAS	6	104	0.0875477100149663	0.287322159520121	1
5306	PTN	5	80	0.0877740077007845	0.287322159520121	1
716	PTPRA	2	17	0.0885802621838938	0.287322159520121	1
5793	ELN	2	17	0.0885802621838938	0.287322159520121	1
1879	PFDN5	2	17	0.0885802621838938	0.287322159520121	1
897	DNAJA3	2	17	0.0885802621838938	0.287322159520121	1
4535	IL27	2	17	0.0885802621838938	0.287322159520121	1
4885	MLL	2	17	0.0885802621838938	0.287322159520121	1
4724	LZTS1	3	36	0.0894470133146053	0.289082376364594	1
35	PTK2B	5	82	0.0951330513065994	0.302829642199571	1
2414	NUP153	5	82	0.0951330513065994	0.302829642199571	1
2017	USP7	3	37	0.0953115558254425	0.302829642199571	1
1698	NGFR	4	59	0.0964705714746852	0.302829642199571	1
131	VAV3	2	18	0.0977745929971708	0.302829642199571	1
3247	PDCD6IP	2	18	0.0977745929971708	0.302829642199571	1
6609	EDNRA	2	18	0.0977745929971708	0.302829642199571	1
505	PPM1A	2	18	0.0977745929971708	0.302829642199571	1
5772	CD22	2	18	0.0977745929971708	0.302829642199571	1
5855	CCT4	2	18	0.0977745929971708	0.302829642199571	1
2915	IL27RA	2	18	0.0977745929971708	0.302829642199571	1
2393	TICAM2	2	18	0.0977745929971708	0.302829642199571	1
766	SIN3A	5	83	0.0989272028767141	0.304921307262438	1
2138	EWSR1	6	108	0.100449588740231	0.304921307262438	1
1403	RPS6KB1	4	60	0.101091099367828	0.304921307262438	1
561	PRMT1	3	38	0.101329129037293	0.304921307262438	1
764	SMARCA4	3	38	0.101329129037293	0.304921307262438	1
4212	POLR3F	3	38	0.101329129037293	0.304921307262438	1
4974	NUP214	5	84	0.102796667386947	0.304921307262438	1
130	ABL1	6	109	0.103824107889909	0.304921307262438	1
862	PXN	5	85	0.106740549539804	0.304921307262438	1
4056	NFKBIA	5	85	0.106740549539804	0.304921307262438	1
2417	EPN1	2	19	0.107223376222542	0.304921307262438	1
686	WRN	2	19	0.107223376222542	0.304921307262438	1
4857	EGR1	2	19	0.107223376222542	0.304921307262438	1
6463	TOP2A	2	19	0.107223376222542	0.304921307262438	1
4722	BMX	2	19	0.107223376222542	0.304921307262438	1
9	ERBB2IP	2	19	0.107223376222542	0.304921307262438	1
7689	DAPP1	2	19	0.107223376222542	0.304921307262438	1
618	IRF3	2	19	0.107223376222542	0.304921307262438	1
1660	HLA-DRB1	3	39	0.107494434780304	0.304921307262438	1
383	WT1	3	40	0.113802093924211	0.304921307262438	1
542	DAB1	3	40	0.113802093924211	0.304921307262438	1
6841	IL2	6	112	0.114297785521127	0.304921307262438	1
268	CEBPB	4	63	0.115547707654446	0.304921307262438	1
1319	RBBP7	4	63	0.115547707654446	0.304921307262438	1
1055	PPP2CA	4	63	0.115547707654446	0.304921307262438	1
495	CD3E	4	63	0.115547707654446	0.304921307262438	1
7153	AZI1	4	63	0.115547707654446	0.304921307262438	1
7182	CEP164	4	63	0.115547707654446	0.304921307262438	1
7183	CEP290	4	63	0.115547707654446	0.304921307262438	1
7184	CEP78	4	63	0.115547707654446	0.304921307262438	1
7546	SDCCAG8	4	63	0.115547707654446	0.304921307262438	1
7618	TSGA14	4	63	0.115547707654446	0.304921307262438	1
1327	CCNA1	2	20	0.116903652081828	0.304921307262438	1
4719	GADD45A	2	20	0.116903652081828	0.304921307262438	1
572	PTPRF	2	20	0.116903652081828	0.304921307262438	1
643	WWP2	2	20	0.116903652081828	0.304921307262438	1
5063	NID1	2	20	0.116903652081828	0.304921307262438	1
885	F11R	2	20	0.116903652081828	0.304921307262438	1
3236	ESR1	9	193	0.118685716834705	0.304921307262438	1
1728	NR2F2	3	41	0.120246663275947	0.304921307262438	1
1474	GEMIN5	3	41	0.120246663275947	0.304921307262438	1
3250	GEMIN6	3	41	0.120246663275947	0.304921307262438	1
7721	IL4	3	41	0.120246663275947	0.304921307262438	1
1022	CEP135	4	64	0.120558052334981	0.304921307262438	1
1529	ODF2	4	64	0.120558052334981	0.304921307262438	1
1992	TUBGCP3	4	64	0.120558052334981	0.304921307262438	1
2234	CETN2	4	64	0.120558052334981	0.304921307262438	1
4046	CEP110	4	64	0.120558052334981	0.304921307262438	1
4274	CEP152	4	64	0.120558052334981	0.304921307262438	1
6770	CEP192	4	64	0.120558052334981	0.304921307262438	1
7034	CEP250	4	64	0.120558052334981	0.304921307262438	1
7125	ALMS1	4	64	0.120558052334981	0.304921307262438	1
7598	SSNA1	4	64	0.120558052334981	0.304921307262438	1
7620	TUBGCP4	4	64	0.120558052334981	0.304921307262438	1
7621	TUBGCP5	4	64	0.120558052334981	0.304921307262438	1
2239	SFI1	4	65	0.125660533075929	0.304921307262438	1
3043	TUBB4	4	65	0.125660533075929	0.304921307262438	1
3789	TUBG2	4	65	0.125660533075929	0.304921307262438	1
5930	NEDD1	4	65	0.125660533075929	0.304921307262438	1
450	NCOR1	4	65	0.125660533075929	0.304921307262438	1
1878	ZBTB17	2	21	0.126793587517561	0.304921307262438	1
147	ATR	2	21	0.126793587517561	0.304921307262438	1
7101	ADH4	2	21	0.126793587517561	0.304921307262438	1
7102	ADH6	2	21	0.126793587517561	0.304921307262438	1
7103	ADH7	2	21	0.126793587517561	0.304921307262438	1
653	NUMB	2	21	0.126793587517561	0.304921307262438	1
3091	GTF3C2	2	21	0.126793587517561	0.304921307262438	1
171	PIK3CG	2	21	0.126793587517561	0.304921307262438	1
2650	JUND	2	21	0.126793587517561	0.304921307262438	1
576	CDH5	2	21	0.126793587517561	0.304921307262438	1
1689	CCT7	2	21	0.126793587517561	0.304921307262438	1
2174	CCT3	2	21	0.126793587517561	0.304921307262438	1
3591	SPHK1	2	21	0.126793587517561	0.304921307262438	1
2629	SNAPC4	2	21	0.126793587517561	0.304921307262438	1
2631	SNAPC2	2	21	0.126793587517561	0.304921307262438	1
7647	ZNF143	2	21	0.126793587517561	0.304921307262438	1
4040	EBI3	2	21	0.126793587517561	0.304921307262438	1
651	ILK	2	21	0.126793587517561	0.304921307262438	1
3261	KRT18	3	42	0.126822651338974	0.304921307262438	1
1262	ATM	3	42	0.126822651338974	0.304921307262438	1
2806	GEMIN7	3	42	0.126822651338974	0.304921307262438	1
4175	MMP2	3	42	0.126822651338974	0.304921307262438	1
2401	BAD	3	42	0.126822651338974	0.304921307262438	1
225	SMAD3	10	225	0.130422659107695	0.30878514661564	1
1990	PCNT	4	66	0.130852898453713	0.30878514661564	1
4623	CEP57	4	66	0.130852898453713	0.30878514661564	1
5548	CEP63	4	66	0.130852898453713	0.30878514661564	1
6122	OFD1	4	66	0.130852898453713	0.30878514661564	1
6177	DYNC1I2	4	66	0.130852898453713	0.30878514661564	1
7225	DCTN3	4	66	0.130852898453713	0.30878514661564	1
222	MAPK9	3	43	0.133524532992602	0.312608617924937	1
3815	SNUPN	3	43	0.133524532992602	0.312608617924937	1
17	PICK1	3	43	0.133524532992602	0.312608617924937	1
8446	CCDC90B	2	22	0.136872430029046	0.313051814322843	1
2016	STK11	2	22	0.136872430029046	0.313051814322843	1
65	TP53BP2	2	22	0.136872430029046	0.313051814322843	1
490	GHR	2	22	0.136872430029046	0.313051814322843	1
2402	TSHR	2	22	0.136872430029046	0.313051814322843	1
1249	EFNB2	2	22	0.136872430029046	0.313051814322843	1
1350	BRF2	2	22	0.136872430029046	0.313051814322843	1
454	GADD45B	2	22	0.136872430029046	0.313051814322843	1
3135	IL18RAP	2	22	0.136872430029046	0.313051814322843	1
483	UBTF	3	44	0.140346763146992	0.318967455604604	1
1515	ACTR1A	4	68	0.141498014768962	0.318967455604604	1
1989	TUBB2C	4	68	0.141498014768962	0.318967455604604	1
7243	DYNC1H1	4	68	0.141498014768962	0.318967455604604	1
1638	RASA1	5	94	0.145413368561415	0.318967455604604	1
2923	PLK4	4	69	0.146946014291467	0.318967455604604	1
934	PRKAR1A	2	23	0.147120463237774	0.318967455604604	1
2835	AP2A2	2	23	0.147120463237774	0.318967455604604	1
5752	AGTR1	2	23	0.147120463237774	0.318967455604604	1
5774	TFAP2A	2	23	0.147120463237774	0.318967455604604	1
7098	ADH1A	2	23	0.147120463237774	0.318967455604604	1
7099	ADH1B	2	23	0.147120463237774	0.318967455604604	1
7100	ADH1C	2	23	0.147120463237774	0.318967455604604	1
7337	HSD11B1	2	23	0.147120463237774	0.318967455604604	1
6695	GCKR	2	23	0.147120463237774	0.318967455604604	1
470	PFN1	2	23	0.147120463237774	0.318967455604604	1
344	CTSB	2	23	0.147120463237774	0.318967455604604	1
