Id	HGNC_symbol	Status	HGNC_ID	HGNC_name	GeneID	UniProt_AC	UniProt_ID	Domain	MGI_symbol	MGI_ID	UniProt_AC_Mm	UniProt_ID_Mm	GeneTag	GeneDesc	Function	Modification	PMID_function	Complex_name	Target	Specific_target	Product	UniProt_ID_target	PMID_target	Comment
1	HDGFRP2	#	#	#	84717	Q7Z4V5	HDGR2_HUMAN	"LEDGF PF11467 472-578, PWWP PF00855 5-87, Pfam-B_32406 PB032406 111-159"	Hdgfrp2	1194492	Q3UMU9	HDGR2_MOUSE	#	#	Histone modification read	#	217205545	#	histone	"H3K79me3, H4K20me3, H3K36me3"	#	#	217205545	"The crystal structures of the PWWP domains from seven different human proteins and three PWWP domain complex structures with histone peptides, i.e., BRPF1-H3K36me3, HDGF2-H3K79me3 and HDGF2-H4K20me3 shows that the PWWP domain can not only bind DNA but also histones."
2	A1CF	#	24086	APOBEC1 complementation factor	29974	Q9NQ94	A1CF_HUMAN	"DND1_DSRM PF14709 445-523, RRM_1 PF00076 58-127 138-203, RRM_6 PF14259 233-297"	A1cf	1917115	Q5YD48	A1CF_MOUSE	RBM	RNA binding motif (RRM) containing	RNA modification	RNA deamination	10781591	APOB_mRNA_editosome	RNA	"mRNA, mC"	U	#	10781591	"ASP=A1CF has three RNA-binding domains with homologies to poly(A)-binding proteins. Recombinant ASP complements recombinant APOBEC-1 to edit apoB RNA in vitro. Therefore, APOBEC-1 and ASP represent the minimal requirements for apoB mRNA editing in vitro."
3	ACTB	#	132	"actin, beta"	60	P60709	ACTB_HUMAN	Actin PF00022 2-375	Actb	87904	P60710	ACTB_MOUSE	#	#	Chromatin remodelling cofactor	#	10966108	"BAF, nBAF, npBAF, PBAF, SWI/SNF-like EPAFB, bBAF, SWI/SNF BRM-BRG1, NuA4, NuA4-related complex"	chromatin	#	#	#	10966108	"??-actin=ACTB and actin-related proteins appear to have weak ATPase activities, which contribute ???1% of the total activity in the BAF remodeling complex (Zhao et al. 1998). Results of experiments using the actin monomer sequestering product latrunculin B suggest that ??-actin and BAF53 are required for stimulation of the ATPase activity of the BAF complex by chromatin"
4	ACTL6A	#	24124	actin-like 6A	86	O96019	ACL6A_HUMAN	Actin PF00022 8-429	Actl6a	1861453	Q9Z2N8	ACL6A_MOUSE	INO80	INO80 complex subunits	Chromatin remodelling cofactor	#	9845365	"BAF, npBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, SWI/SNF-like_EPAFa, WINAC, SWI/SNF-like EPAFB, SWI/SNF BRM-BRG1, Ino80, NuA4, NuA4-related complex, SRCAP"	chromatin	#	#	#	9845365	??-actin and BAF53 =ACTL6A are required for maximal ATPase activity of BRG1 and are also required with BRG1 for association of the complex with chromatin/matrix.
5	ACTL6B	#	160	actin-like 6B	51412	O94805	ACL6B_HUMAN	Actin PF00022 8-426	Actl6b	1933548	Q99MR0	ACL6B_MOUSE	#	#	Chromatin remodelling cofactor	#	11726552	"BAF, nBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, SWI/SNF BRM-BRG1"	chromatin	#	#	#	11726552	"Belongs to the chromatin remodeling brain-specific BAF (bBAF) complex, as such plays a role in remodeling mononucleosomes in an ATP-dependent fashion."
6	ACTR3B	#	17256	ARP3 actin-related protein 3 homolog B (yeast)	57180	Q9P1U1	ARP3B_HUMAN	Actin PF00022 3-412	Actr3b	2661120	Q641P0	ARP3B_MOUSE	#	#	Chromatin remodelling	#	10911987	#	histone	"H2A, H3, H4"	#	#	10911987	"Act3/Arp4 can interact through the N-terminal domains of histones H3, H4, and H2A. Since Esa1 can only acetylate nucleosomal histones as part of theNuA4 complex, it has been proposed that the Act3/Arp4 subunit functions by promoting the binding of NuA4 to chromatin."
7	ACTR5	#	14671	ARP5 actin-related protein 5 homolog (yeast)	79913	Q9H9F9	ARP5_HUMAN	Actin PF00022 30-570	Actr5	1924748	Q80US4	ARP5_MOUSE	INO80	INO80 complex subunits	Chromatin remodelling	#	19014934	Ino80	chromatin	#	#	#	19014934	hArp5 binds to chromatin as a component of the hINO80 complex in a DSB-independent manner.
8	ACTR6	#	24025	ARP6 actin-related protein 6 homolog (yeast)	64431	Q9GZN1	ARP6_HUMAN	Actin PF00022 1-395	Actr6	1914269	Q9D864	ARP6_MOUSE	#	#	Chromatin remodelling cofactor	#	11368909	SRCAP	chromatin	#	#	#	11368909	The Arp6 subfamily might regulate heterochromatin formation induced by the HP1 family.
9	ACTR8	#	14672	ARP8 actin-related protein 8 homolog (yeast)	93973	Q9H981	ARP8_HUMAN	Actin PF00022 43-621	Actr8	1860775	Q8R2S9	ARP8_MOUSE	INO80	INO80 complex subunits	Histone modification read	#	22977180	Ino80	histone	#	#	#	22977180	"Arp8 and the Arp8-Arp4-actin-HSA sub-complex of INO80 strongly prefer nucleosomes and H3-H4 tetramers over H2A-H2B dimers, suggesting that Arp8 functions as a nucleosome recognition module."
10	ADNP	New	15766	activity-dependent neuroprotector homeobox	23394	Q9H2P0	ADNP_HUMAN	"Homeobox PF00046 765-813, Pfam-B_10803 PB010803 691-762, Pfam-B_21724 PB021724 921-1100, Pfam-B_29916 PB029916 615-646"	Adnp	1338758	Q9Z103	ADNP_MOUSE	ZFHX	Homeoboxes / ZF class	Chromatin remodelling cofactor	#	17878164	#	chromatin	#	#	#	#	Identified as a member of SWI/SNF chromatin remodeling complex. UniProt: Potential transcription factor.
11	AEBP2	#	24051	AE binding protein 2	121536	Q6ZN18	AEBP2_HUMAN	"Pfam-B_22101 PB022101 1-79, Pfam-B_8048 PB008048 401-515, zf-H2C2_2 PF13465 315-341"	Aebp2	1338038	Q9Z248	AEBP2_MOUSE	#	#	Histone modification write cofactor	Histone methylation	15225548	PRC2	DNA	#	#	#	15225548	"The HMTase activity requires a minimum of three components-EZH2, EED, and SUZ12-while AEBP2 is required for optimal enzymatic activity. Using a stable SUZ12 knockdown cell line, SUZ12 knockdown results in cell growth defects, which correlate with genome-wide alteration on H3-K27 methylation as well as upregulation of a number of Hox genes."
12	AICDA	#	13203	activation-induced cytidine deaminase	57379	Q9GZX7	AICDA_HUMAN	APOBEC_N PF08210 11-181	Aicda	1342279	Q9WVE0	AICDA_MOUSE	APOBEC	Apolipoprotein B mRNA editing enzymes	DNA modification	DNA demethylation	21496894	APOB_mRNA_editosome	DNA	"ssDNA, hmC"	hmU	#	21496894	"AICDA or AID is required for OCT4 and NANOG promoter demethylation, 5mCs are first oxidized to 5hmCs by TET proteins. 5hmCs are then deaminated by AID/APOBEC deaminases into 5hmU. Finally, 5hmU can be excised by 5hmU glycosylases and repaired by the BER pathway with unmethylated cytosines"
13	AIRE	#	360	autoimmune regulator	326	O43918	AIRE_HUMAN	"PHD PF00628 298-343, Pfam-B_9104 PB009104 481-543, SAND PF01342 189-249, Sp100 PF03172 1-106"	Aire	1338803	Q9Z0E3	AIRE_MOUSE	PHF	"Zinc fingers, PHD-type"	"Histone modification read, TF"	"#, #"	18292755	#	"histone, DNA"	"H3K4, H3K4me3, DNA motif"	#	#	18292755	"AIRE selectively interacts with histone H3 through its first plant homeodomain (PHD) finger (AIRE?€?PHD1) and preferentially binds to non-methylated H3K4 (H3K4me0). Accordingly, in vivo AIRE binds to and activates promoters containing low levels of H3K4me3 in human embryonic kidney 293 cells. AIRE?€?PHD1 is an important member of a newly identified class of PHD fingers that specifically recognize H3K4me0, thus providing a new link between the status of histone modifications."
14	ALKBH1	New	17911	"alkB, alkylation repair homolog 1 (E. coli)"	8846	Q13686	ALKB1_HUMAN	2OG-FeII_Oxy_2 PF13532 98-344	Alkbh1	2384034	P0CB42	ALKB1_MOUSE	ALKB	Alkylation repair homologs	Histone modification	#	22961808	#	histone	H2A	#	#	#	ALKBH1 is a histone H2A dioxygenase involved in neural differentiation.
15	ANKRD32	#	25408	ankyrin repeat domain 32	84250	Q9BQI6	ANR32_HUMAN	"Ank_2 PF12796 783-871 845-931, Pfam-B_101142 PB101142 932-1056, Pfam-B_12624 PB012624 231-430, Pfam-B_18156 PB018156 1-229, Pfam-B_81366 PB081366 641-782"	Ankrd32	2145448	Q8R3P9	ANR32_MOUSE	ANKRD	Ankyrin repeat domain containing	Histone modification read	#	21423274	#	histone	H2AXS139	#	#	21423274	Table 1 in the reference (ANKRD32=BRCT repeat)
16	ANP32A	#	13233	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A"	8125	P39687	AN32A_HUMAN	LRR_9 PF14580 17-166	Anp32a	108447	O35381	AN32A_MOUSE	ANP32	ANP32 acidic nuclear phosphoproteins	Chromatin remodelling cofactor	#	11163245	#	chromatin	#	#	#	11163245	"pp32 = ANP32A is a member of a family of leucine-rich acidic nuclear proteins ( 7??and??19). Results suggest potential roles of INHAT subunits in chromatin remodeling and transcriptional regulation; INHAT complex including pp32 inhibits the HAT activity of p300/CBP and PCAF by binding to their substrate, histones."
